R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	
16	1	16	16	0	16	16	16	16	16	
2	1	2	2	0	16	16	16	16	16	
2	1	2	2	0	16	16	16	16	16	
2	1	2	2	0	16	16	16	16	16	
2	1	2	2	0	3	16	16	16	16	
2	1	2	2	0	3	2	1	16	16	
2	1	2	2	0	3	2	1	16	16	
2	1	2	2	0	3	2	1	16	16	
2	1	2	2	0	2	2	1	16	16	
2	1	2	2	0	2	2	1	16	16	
2	1	2	2	0	2	2	1	16	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
2	1	2	2	0	2	2	1	3	2	
